date,Patek Philippe 5711/1A (CHF)
Mon May 13 2019,39251
Tue May 14 2019,39259
Wed May 15 2019,39266
Thu May 16 2019,39273
Fri May 17 2019,39277
Sat May 18 2019,39279
Sun May 19 2019,39277
Mon May 20 2019,39272
Tue May 21 2019,39266
Wed May 22 2019,39261
Thu May 23 2019,39889
Fri May 24 2019,39873
Sat May 25 2019,39850
Sun May 26 2019,42967
Mon May 27 2019,42941
Tue May 28 2019,42918
Wed May 29 2019,42899
Thu May 30 2019,42881
Fri May 31 2019,43568
Sat Jun 01 2019,43549
Sun Jun 02 2019,43522
Mon Jun 03 2019,43496
Tue Jun 04 2019,43467
Wed Jun 05 2019,43433
Thu Jun 06 2019,43396
Fri Jun 07 2019,43358
Sat Jun 08 2019,43317
Sun Jun 09 2019,43274
Mon Jun 10 2019,43237
Tue Jun 11 2019,43207
Wed Jun 12 2019,45498
Thu Jun 13 2019,45475
Fri Jun 14 2019,45454
Sat Jun 15 2019,45436
Sun Jun 16 2019,45422
Mon Jun 17 2019,45405
Tue Jun 18 2019,45387
Wed Jun 19 2019,45370
Thu Jun 20 2019,45351
Fri Jun 21 2019,45312
Sat Jun 22 2019,45267
Sun Jun 23 2019,45219
Mon Jun 24 2019,45178
Tue Jun 25 2019,45136
Wed Jun 26 2019,45093
Thu Jun 27 2019,45053
Fri Jun 28 2019,45011
Sat Jun 29 2019,44964
Sun Jun 30 2019,44916
Mon Jul 01 2019,44875
Tue Jul 02 2019,44851
Wed Jul 03 2019,44830
Thu Jul 04 2019,44814
Fri Jul 05 2019,43455
Sat Jul 06 2019,43450
Sun Jul 07 2019,43449
Mon Jul 08 2019,43452
Tue Jul 09 2019,43459
Wed Jul 10 2019,43405
Thu Jul 11 2019,43406
Fri Jul 12 2019,44779
Sat Jul 13 2019,44769
Sun Jul 14 2019,46620
Mon Jul 15 2019,45144
Tue Jul 16 2019,45120
Wed Jul 17 2019,45101
Thu Jul 18 2019,45085
Fri Jul 19 2019,45064
Sat Jul 20 2019,45042
Sun Jul 21 2019,45036
Mon Jul 22 2019,45039
Tue Jul 23 2019,45050
Wed Jul 24 2019,47346
Thu Jul 25 2019,47364
Fri Jul 26 2019,47386
Sat Jul 27 2019,47411
Sun Jul 28 2019,47436
Mon Jul 29 2019,47465
Tue Jul 30 2019,47490
Wed Jul 31 2019,47512
Thu Aug 01 2019,47523
Fri Aug 02 2019,47535
Sat Aug 03 2019,47534
Sun Aug 04 2019,47528
Mon Aug 05 2019,47517
Tue Aug 06 2019,49039
Wed Aug 07 2019,49011
Thu Aug 08 2019,48983
Fri Aug 09 2019,48953
Sat Aug 10 2019,52313
Sun Aug 11 2019,52284
Mon Aug 12 2019,52259
Tue Aug 13 2019,52236
Wed Aug 14 2019,52215
Thu Aug 15 2019,52197
Fri Aug 16 2019,52177
Sat Aug 17 2019,52161
Sun Aug 18 2019,52149
Mon Aug 19 2019,52142
Tue Aug 20 2019,52139
Wed Aug 21 2019,52134
Thu Aug 22 2019,52132
Fri Aug 23 2019,52129
Sat Aug 24 2019,52122
Sun Aug 25 2019,52098
Mon Aug 26 2019,52067
Tue Aug 27 2019,52173
Wed Aug 28 2019,52148
Thu Aug 29 2019,52130
Fri Aug 30 2019,52118
Sat Aug 31 2019,52113
Sun Sep 01 2019,52107
Mon Sep 02 2019,52115
Tue Sep 03 2019,52130
Wed Sep 04 2019,52143
Thu Sep 05 2019,52157
Fri Sep 06 2019,54363
Sat Sep 07 2019,54386
Sun Sep 08 2019,54409
Mon Sep 09 2019,54435
Tue Sep 10 2019,55098
Wed Sep 11 2019,55133
Thu Sep 12 2019,55175
Fri Sep 13 2019,54548
Sat Sep 14 2019,54216
Sun Sep 15 2019,54244
Mon Sep 16 2019,54263
Tue Sep 17 2019,54286
Wed Sep 18 2019,54314
Thu Sep 19 2019,54341
Fri Sep 20 2019,54367
Sat Sep 21 2019,54387
Sun Sep 22 2019,54401
Mon Sep 23 2019,54420
Tue Sep 24 2019,54449
Wed Sep 25 2019,54476
Thu Sep 26 2019,54496
Fri Sep 27 2019,54519
Sat Sep 28 2019,54539
Sun Sep 29 2019,54553
Mon Sep 30 2019,54557
Tue Oct 01 2019,54566
Wed Oct 02 2019,54579
Thu Oct 03 2019,52715
Fri Oct 04 2019,52732
Sat Oct 05 2019,52754
Sun Oct 06 2019,52774
Mon Oct 07 2019,52788
Tue Oct 08 2019,52801
Wed Oct 09 2019,52812
Thu Oct 10 2019,52818
Fri Oct 11 2019,52824
Sat Oct 12 2019,52832
Sun Oct 13 2019,52842
Mon Oct 14 2019,52856
Tue Oct 15 2019,52867
Wed Oct 16 2019,52882
Thu Oct 17 2019,52892
Fri Oct 18 2019,52887
Sat Oct 19 2019,52872
Sun Oct 20 2019,55840
Mon Oct 21 2019,55825
Tue Oct 22 2019,55815
Wed Oct 23 2019,55810
Thu Oct 24 2019,55809
Fri Oct 25 2019,56609
Sat Oct 26 2019,56835
Sun Oct 27 2019,56838
Mon Oct 28 2019,56923
Tue Oct 29 2019,57700
Wed Oct 30 2019,57707
Thu Oct 31 2019,57701
Fri Nov 01 2019,57681
Sat Nov 02 2019,57661
Sun Nov 03 2019,57985
Mon Nov 04 2019,60447
Tue Nov 05 2019,60430
Wed Nov 06 2019,60420
Thu Nov 07 2019,60416
Fri Nov 08 2019,60417
Sat Nov 09 2019,60474
Sun Nov 10 2019,60478
Mon Nov 11 2019,60477
Tue Nov 12 2019,59255
Wed Nov 13 2019,59249
Thu Nov 14 2019,59237
Fri Nov 15 2019,59219
Sat Nov 16 2019,59205
Sun Nov 17 2019,59204
Mon Nov 18 2019,59210
Tue Nov 19 2019,59221
Wed Nov 20 2019,59234
Thu Nov 21 2019,59245
